,precision,recall,f1-score,support
currency,0.0,0.0,0.0,2.0
housing,1.0,1.0,1.0,2.0
interest,1.0,1.0,1.0,5.0
jobs,1.0,0.9024390243902439,0.9487179487179487,41.0
macro,0.7333333333333333,0.88,0.8,25.0
market,0.0,0.0,0.0,0.0
none,0.7435897435897436,0.8787878787878788,0.8055555555555556,33.0
other,0.0,0.0,0.0,2.0
prices,0.0,0.0,0.0,3.0
retail,1.0,1.0,1.0,1.0
wages,1.0,0.42857142857142855,0.6,7.0
accuracy,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182
macro avg,0.5888111888111888,0.5536180301590501,0.5594794094794096,121.0
weighted avg,0.8171222716677262,0.8181818181818182,0.8072790845518119,121.0
