,precision,recall,f1-score,support
currency,1.0,1.0,1.0,2.0
energy,0.0,0.0,0.0,0.0
housing,1.0,1.0,1.0,7.0
interest,0.0,0.0,0.0,2.0
jobs,0.7142857142857143,1.0,0.8333333333333334,5.0
macro,1.0,0.8260869565217391,0.9047619047619048,23.0
market,0.9,0.9,0.9,20.0
none,0.9459459459459459,0.875,0.9090909090909091,40.0
other,0.0,0.0,0.0,1.0
prices,0.0,0.0,0.0,0.0
retail,0.5,1.0,0.6666666666666666,2.0
wages,0.0,0.0,0.0,0.0
accuracy,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.8627450980392157
macro avg,0.505019305019305,0.5500905797101449,0.5178210678210678,102.0
weighted avg,0.9059732000908471,0.8627450980392157,0.8791486291486291,102.0
