,precision,recall,f1-score,support
energy,1.0,1.0,1.0,1.0
housing,1.0,0.875,0.9333333333333333,8.0
interest,1.0,1.0,1.0,1.0
jobs,0.9285714285714286,0.9629629629629629,0.9454545454545454,27.0
macro,0.5,0.8181818181818182,0.6206896551724138,11.0
market,1.0,0.5,0.6666666666666666,14.0
none,0.8923076923076924,0.9830508474576272,0.9354838709677419,59.0
prices,0.0,0.0,0.0,3.0
wages,1.0,0.625,0.7692307692307693,8.0
accuracy,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636
macro avg,0.8134310134310135,0.7515772920669342,0.763428760091719,132.0
weighted avg,0.8728604728604729,0.8636363636363636,0.8522897990538804,132.0
