id,text
63003_10,"This housing can also be easily lost, not because it disappears, but because it is purchased by a homeowner or investor who renovates in hopes of increasing rents. This is what has happened over the last two decades: <span>Since 2014,</span> according to Harvard’s Joint Center, the nation has lost about 2.7 million affordable units, defined as those carrying rents less than $600. Carline Chery, 50, owns three Boston duplexes."
63003_0,"For the most part, that has not happened. Despite <span>a 14.7 percent</span> unemployment rate and millions of new jobless claims each week, collections are only slightly below where they were last year, when the economy was booming. How can this be?"
63003_3,"In April, the National Multifamily Housing Council started releasing weekly rent tallies, and aside from a substantial dip in the first week, the rates have been only slightly below where they were last year. Through May 20, landlords in the council's survey had <span>collected 90.8 percent</span> of rents, compared with 93 percent a year earlier. A similar story has played out in state surveys and earnings reports from real estate investment trusts like Mid-America Apartment Company and Equity Residential."
66212_16,"With about 10% of votes counted, he led with about 86% of the vote. Next up in races to watch: Polls close at 7:30 in North Carolina <span>and 8 p</span>.m. in Pennsylvania. Polls close in Idaho at 10 p.m."
66212_0,Latest Developments Republican Rep. Ted Budd on Tuesday won his party’s nomination for North Carolina’s open seat in the U.S. Senate as voters in five states cast ballots in primary elections that will provide the latest test of former President Donald Trump’s influence within the Republican Party. Here are some of the key races to watch: Kentucky (Polls closed <span>at 6 p</span>.m. ET): The Associated Press made some early calls.
66212_5,"John Fetterman has jumped out to an early lead in the Democratic Senate primary in Pennsylvania. With under a quarter of the vote counted, Mr. Fetterman has 52.8% of the vote, <span>to 31.7% for</span> U.S. Rep. Conor Lamb and 11.1% for state Rep. Malcolm Kenyatta. The race was shaken on Sunday when Mr. Fetterman, said that he was recovering from a stroke that would keep him in the hospital at least through Election Day."
19687_6,"Many employers post their cultural values on the wall but fail to make them explicit to job applicants, says S. Chris Edmonds, author of “The Culture Engine.” This can easily lead to misfires. Some 7% of workers ages 24 to<span> 36 say</span> they dislike their employer’s culture so much that they intend to quit their jobs in the next two years, according to a 2019 survey by Deloitte of 13,416 millennial employees. More young workers are holding employers accountable for their values, and insisting that their companies stand for something, Mr. Edmonds says."
19687_2,"“You end up with this big, homogenous culture where everybody looks alike, everybody thinks alike, and everybody likes drinking beer at 3 o’clock in the afternoon with the bros,” she says. An alluring culture is a coveted prize in today’s tight labor market, surging to first from fifth place in the last five years as the most important factor in recruiting top talent, according to a 2018 Korn Ferry survey <span>of 1,100 hiring</span> managers. But there’s a difference between cultural frills like office ping pong and craft beer, and deeper ones that mean more."
19687_4,"Many employers post their cultural values on the wall but fail to make them explicit to job applicants, says S. Chris Edmonds, author of “The Culture Engine.” This can easily lead to misfires. <span>Some 7% of</span> workers ages 24 to 36 say they dislike their employer’s culture so much that they intend to quit their jobs in the next two years, according to a 2019 survey by Deloitte of 13,416 millennial employees. More young workers are holding employers accountable for their values, and insisting that their companies stand for something, Mr. Edmonds says."
95609_11,"Central bankers are eager to act early to safeguard the long economic expansion because they appear to have limited policy space to counteract any recession with interest rates already low. The eurozone economy is still expanding and its inflation rate is <span>above 1%,</span> not far from the ECB’s target. That is a marked change from the ECB’s last major round of stimulus in early 2016, when the currency union was flirting with deflation, or a cycle of falling prices."
95609_3,"The Fed is widely expected to lower interest rates for the first time in over a decade when it meets next week. In a statement, the ECB said it was “determined to act” to prop up inflation rates that have persistently undershot the central bank’s target of just <span>below 2%,</span> which the economic slowdown puts further out of reach. It said it was expecting to keep its key interest rate at minus 0.4% or lower through the first half of 2020."
95609_6,"It has previously used such language to signal that fresh action is imminent. The ECB’s next policy meeting is on Sept.<span> 12.</span> “It now increasingly looks as if the September meeting will not only bring a single measure but rather a package of several measures,” ING Bank analysts said."
39573_35,"Russia has managed to mute criticism of its invasion of Ukraine among leaders in Africa but also in Asia and Latin America. In April, the United Nations General Assembly voted 93 to<span> 24 to</span> exclude Russia from the U.N. Human Rights Council. But most African nations either voted against the measure, abstained or simply did not cast a vote, including countries usually aligned with the views of Western countries, like Senegal, a regional peace broker."
