id,text
39418_15,"It has been suggested that the changes long resisted by conservative forces — resistance that even a king could not overcome — would one day come about as those men and women rose in the government, industry and academia. Perhaps Abdullah’s most daunting challenge arrived in the wake of the Sept. 11, 2001, terrorist attacks, with the revelation <span>that 15 of</span> the 19 hijackers were Saudis. The royal family at first railed at what it called a vicious smear campaign against the kingdom, then ruthlessly suppressed known militants — not least because the monarchy itself was a main target of Al Qaeda."
39418_0,"King Abdullah of Saudi Arabia, who came to the throne in old age and earned a reputation as a cautious reformer even as the Arab Spring revolts toppled heads of state and Islamic State militants threatened the Muslim establishment that he represented, died on Friday, according to a statement on state television. He <span>was 90.</span> The Royal Court said in a statement broadcast across the kingdom that the king had died early Friday."
39418_25,"As king he also bore the title of custodian of Islam’s holiest sites, Mecca and Medina, making him one of the faith’s most important figures. Abdullah had grown accustomed to the levers of power long before his ascension to the throne in August<span> 2005.</span> After his predecessor, King Fahd, a half brother, had a stroke in November 1995, Abdullah, then the crown prince, ruled in the king’s name."
39418_25,"As king he also bore the title of custodian of Islam’s holiest sites, Mecca and Medina, making him one of the faith’s most important figures. Abdullah had grown accustomed to the levers of power long before his ascension to the throne in August<span> 2005.</span> After his predecessor, King Fahd, a half brother, had a stroke in November 1995, Abdullah, then the crown prince, ruled in the king’s name."
39418_16,"It has been suggested that the changes long resisted by conservative forces — resistance that even a king could not overcome — would one day come about as those men and women rose in the government, industry and academia. Perhaps Abdullah’s most daunting challenge arrived in the wake of the Sept. 11, 2001, terrorist attacks, with the revelation that 15 of <span>the 19 hijackers</span> were Saudis. The royal family at first railed at what it called a vicious smear campaign against the kingdom, then ruthlessly suppressed known militants — not least because the monarchy itself was a main target of Al Qaeda."
53411_12,"I had a hard time sleeping. I’d wake up <span>at 3 a</span>.m. on the couch. My husband would find me in the morning and we’d just sit there, holding each other."
53411_3,"[Sign up for Love Letter, our weekly email about Modern Love, weddings and relationships.] ❦ ‘The sense of someone near is comforting.’ Lilian Howard,<span> 83 Virginia</span> Beach, Va. Living with Lydia, her 24-year-old roommate."
53411_8,"We’ve learned that the only thing more conducive to growth than living in a yurt is living in a yurt during quarantine. ❦ ‘We were supposed to be here for three days’ Bianca Carminati,<span> 34 Gili</span> Meno, Indonesia Living with her boyfriend, Eduardo. My boyfriend and I are accidentally living on an island in Indonesia; we were supposed to be here for just three days when lockdown happened."
53411_8,"We’ve learned that the only thing more conducive to growth than living in a yurt is living in a yurt during quarantine. ❦ ‘We were supposed to be here for three days’ Bianca Carminati,<span> 34 Gili</span> Meno, Indonesia Living with her boyfriend, Eduardo. My boyfriend and I are accidentally living on an island in Indonesia; we were supposed to be here for just three days when lockdown happened."
53411_13,"Randy and I have come a long way during this time — now, we accept our loss as part of our story. ❦ ‘More than sex, drugs and rock ’n’ roll’ Kellie Krueger,<span> 32 Los</span> Angeles Living with her boyfriend, Tony, who moved into her studio apartment. We went from seeing each other on weekends at goth and rock clubs — and enjoying maybe one lazy day after — to this."
80703_18,"It built Newsstand into its mobile software as a one-stop shop for news apps on Apple devices, but users rarely see it that way—with services such as Flipboard offering a more seamless way to read aggregated news. * China Ratchets Up Pressure on Foreign CompaniesApril 27,<span> 2023,</span> * Amazon Rebounds From Postpandemic Doldrums, but Says Cloud Growth Is SlowingApril 27, 2023, * Stocks Rally, Led by NasdaqApril 27, 2023,  * China Ratchets Up Pressure on Foreign CompaniesApril 27, 2023, * Amazon Rebounds From Postpandemic Doldrums, but Says Cloud Growth Is SlowingApril 27, 2023, * Stocks Rally, Led by NasdaqApril 27, 2023, * Higher Rates Hit U.S. GrowthApril 27, 2023, * Denied a Gun License Over School Threat, Accused Leaker Jack Teixeira Later Got Top-Secret ClearanceApril 27, 2023, * Iran Seizes U.S.-Bound Oil TankerApril 27, 2023, * DeSantis’s Miscalculation: ‘Disney Is Playing the Long Game’April 27, 2023, * U.S. Sanctions Russian, Iranian Security Services Over Wrongful DetentionsApril 27, 2023, * Fire Sale: $300 Million San Francisco Office Tower, Mostly Empty. Open to Offers."
80703_4,"It built Newsstand into its mobile software as a one-stop shop for news apps on Apple devices, but users rarely see it that way—with services such as Flipboard offering a more seamless way to read aggregated news. * China Ratchets Up Pressure on Foreign CompaniesApril 27,<span> 2023,</span> * Amazon Rebounds From Postpandemic Doldrums, but Says Cloud Growth Is SlowingApril 27, 2023, * Stocks Rally, Led by NasdaqApril 27, 2023,  * China Ratchets Up Pressure on Foreign CompaniesApril 27, 2023, * Amazon Rebounds From Postpandemic Doldrums, but Says Cloud Growth Is SlowingApril 27, 2023, * Stocks Rally, Led by NasdaqApril 27, 2023, * Higher Rates Hit U.S. GrowthApril 27, 2023, * Denied a Gun License Over School Threat, Accused Leaker Jack Teixeira Later Got Top-Secret ClearanceApril 27, 2023, * Iran Seizes U.S.-Bound Oil TankerApril 27, 2023, * DeSantis’s Miscalculation: ‘Disney Is Playing the Long Game’April 27, 2023, * U.S. Sanctions Russian, Iranian Security Services Over Wrongful DetentionsApril 27, 2023, * Fire Sale: $300 Million San Francisco Office Tower, Mostly Empty. Open to Offers."
80703_10,"It built Newsstand into its mobile software as a one-stop shop for news apps on Apple devices, but users rarely see it that way—with services such as Flipboard offering a more seamless way to read aggregated news. * China Ratchets Up Pressure on Foreign CompaniesApril 27,<span> 2023,</span> * Amazon Rebounds From Postpandemic Doldrums, but Says Cloud Growth Is SlowingApril 27, 2023, * Stocks Rally, Led by NasdaqApril 27, 2023,  * China Ratchets Up Pressure on Foreign CompaniesApril 27, 2023, * Amazon Rebounds From Postpandemic Doldrums, but Says Cloud Growth Is SlowingApril 27, 2023, * Stocks Rally, Led by NasdaqApril 27, 2023, * Higher Rates Hit U.S. GrowthApril 27, 2023, * Denied a Gun License Over School Threat, Accused Leaker Jack Teixeira Later Got Top-Secret ClearanceApril 27, 2023, * Iran Seizes U.S.-Bound Oil TankerApril 27, 2023, * DeSantis’s Miscalculation: ‘Disney Is Playing the Long Game’April 27, 2023, * U.S. Sanctions Russian, Iranian Security Services Over Wrongful DetentionsApril 27, 2023, * Fire Sale: $300 Million San Francisco Office Tower, Mostly Empty. Open to Offers."
80703_8,"It built Newsstand into its mobile software as a one-stop shop for news apps on Apple devices, but users rarely see it that way—with services such as Flipboard offering a more seamless way to read aggregated news. * China Ratchets Up Pressure on Foreign CompaniesApril 27,<span> 2023,</span> * Amazon Rebounds From Postpandemic Doldrums, but Says Cloud Growth Is SlowingApril 27, 2023, * Stocks Rally, Led by NasdaqApril 27, 2023,  * China Ratchets Up Pressure on Foreign CompaniesApril 27, 2023, * Amazon Rebounds From Postpandemic Doldrums, but Says Cloud Growth Is SlowingApril 27, 2023, * Stocks Rally, Led by NasdaqApril 27, 2023, * Higher Rates Hit U.S. GrowthApril 27, 2023, * Denied a Gun License Over School Threat, Accused Leaker Jack Teixeira Later Got Top-Secret ClearanceApril 27, 2023, * Iran Seizes U.S.-Bound Oil TankerApril 27, 2023, * DeSantis’s Miscalculation: ‘Disney Is Playing the Long Game’April 27, 2023, * U.S. Sanctions Russian, Iranian Security Services Over Wrongful DetentionsApril 27, 2023, * Fire Sale: $300 Million San Francisco Office Tower, Mostly Empty. Open to Offers."
